ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
639070081,23234579,,,Union Square Bus Station,,,,Bus Station,,Guild Street,,,,Stance 8,,,ES000011,Aberdeen,,,Aberdeen,,City Centre,,1,UKOS,394295,805942,-2.095911,57.144326,BCS,,PPT,,,,111,2003-07-25T00:00:00.000,2009-11-05T12:16:00.000,8,revise,active
639070091,23234572,,,Union Square Bus Station,,,,Bus Station,,Guild Street,,,,Stance 9,,,ES000011,Aberdeen,,,Aberdeen,,City Centre,,1,UKOS,394299,805938,-2.095844,57.14429,BCS,,PPT,,,,111,2003-07-25T00:00:00.000,2009-11-05T12:17:00.000,9,revise,active
639070100,23236973,,,Union Square Bus Station,,,,Bus Station,,Guild Street,,,,Stance 10,,,ES000011,Aberdeen,,,Aberdeen,,,,1,UKOS,394302,805933,-2.095795,57.144245,BCS,,PPT,,,,111,2008-08-26T11:37:00.000,2009-11-05T12:17:00.000,5,revise,active
639070111,23234546,,,Union Square Bus Station,,,,Bus Station,,Guild Street,,,,Stance 11,,,ES000011,Aberdeen,,,Aberdeen,,City centre,,1,UKOS,394305,805928,-2.095745,57.1442,BCS,,PPT,,,,111,2003-07-25T00:00:00.000,2010-04-05T11:43:00.000,8,revise,active
639070121,23234547,,,Union Square Bus Station,,,,Bus Station,,Guild Street,,,,Stance 12,,,ES000011,Aberdeen,,,Aberdeen,,City Centre,,1,UKOS,394309,805923,-2.095679,57.144156,BCS,,PPT,,,,111,2003-07-25T00:00:00.000,2010-04-05T11:42:00.000,10,revise,active
639070131,23237286,,,Union Square Bus Station,,,,Bus Station,,Guild Street,,,,Stance A,,,ES000011,Aberdeen,,,Aberdeen,,City Centre,,0,UKOS,394231,805970,-2.096969,57.144577,BCS,,OTH,,,,111,2010-07-09T11:05:00.000,2023-11-29T12:28:28.798,2,revise,active
639070141,23237287,,,Union Square Bus Station,,,,Bus Station,,Guild Street,,,,Stance B,,,ES000011,Aberdeen,,,Aberdeen,,City Centre,,0,UKOS,394228,805972,-2.097018,57.144595,BCS,,OTH,,,,111,2010-07-09T11:06:00.000,2023-11-29T12:34:30.171,3,revise,active
639005813,23237476,,,Chapel of Stoneywood Road,,,,Chapel of Stoneywood Road,,A96,,,,adj,,E,N0073299,Kirkhill,,,,,-,,,UKOS,386706,811242,-2.221603,57.191777,BCT,CUS,OTH,,,,111,2015-03-17T15:37:58.000,2015-03-17T15:37:58.000,0,new,active
639001683,23237478,,,St Clair Street,,,,,,A956,,,,,,N,ES000011,Aberdeen,,,,,,,,UKOS,394373,806955,-2.094645,57.153427,BCT,MKD,OTH,,,,111,2015-04-02T15:03:05.000,2015-04-02T15:27:41.000,1,revise,inactive
639067972,23237479,,,Mill of Mundurno,,Mill of Mundurno,,Mill of Mundurno,,B999,,,,opp,,NW,N0066969,Bridge of Don,Aberdeen,,,,,,,UKOS,394490,812467,-2.092835,57.202942,BCT,CUS,OTH,,,,111,2015-05-26T11:26:21.000,2015-05-26T11:37:21.000,1,revise,active
639067973,23237482,,,Mill of Mundurno,,,,Mill of Mundurno,,B999,,,,at,,SE,N0066969,Bridge of Don,Aberdeen,,,,,,,UKOS,394492,812467,-2.092802,57.202942,BCT,CUS,OTH,,,,111,2015-05-26T11:36:29.000,2015-05-27T11:02:51.000,1,revise,active
639067974,23237483,,,Newton of Mundurno,,,,Newton of Mundurno,,B999,,,,at,,N,N0066969,Bridge of Don,Aberdeen,,,,,,,UKOS,394264,813744,-2.096606,57.214411,BCT,CUS,OTH,,,,111,2015-05-26T11:42:48.000,2015-05-27T11:03:29.000,1,revise,active
639067975,23237484,,,Newton of Mundurno,,,,Newton of Mundurno,,B999,,,,opp,,S,N0066969,Bridge of Don,Aberdeen,,,,,,,UKOS,394284,813746,-2.096275,57.214429,BCT,CUS,OTH,,,,111,2015-05-26T11:46:01.000,2015-05-27T11:03:53.000,1,revise,active
639067976,23237485,,,Five Mile Garage,,,,Five Mile Garage,,A944,,,,opp,,E,ES002112,Kingswells,,,,,,,,UKOS,386006,806189,-2.232899,57.146365,BCT,CUS,OTH,,,,111,2015-05-26T11:54:59.000,2015-05-27T11:04:50.000,1,revise,active
639067977,23237486,,,Five Mile Garage,,,,Five Mile Garage,,A944,,,,at,,W,ES002112,Kingswells,,,,,,,,UKOS,386006,806175,-2.232899,57.146239,BCT,CUS,OTH,,,,111,2015-05-26T11:57:58.000,2015-05-27T11:05:15.000,1,revise,active
